team,name,Min,ExpG,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOnHfScs,PsOpHfScs,SucflDuels,Touches,DuelLs,DefTouch,Recovery,TchsA3,TchsM3,PsCmpM3,PsCmpA3
HFX Wanderers,Alex Marshall,27,0.04,0.0,0,1,2,10,1,7,5,15,1,0,0,8,7,3,5
HFX Wanderers,Alex Marshall,19,0.0,0.0,0,0,2,6,0,4,5,13,0,1,0,10,1,0,4
Forge,David Choinière,68,0.0,0.0,0,0,4,23,6,13,7,39,5,5,2,22,12,8,11
Forge,David Choinière,68,0.0,0.09,0,0,3,15,3,9,3,32,8,1,1,20,9,3,8
Forge,David Choinière,71,0.0,0.0,0,0,4,15,4,7,3,25,4,1,3,14,9,6,5
Forge,David Choinière,45,0.08,0.29,0,0,1,12,1,10,3,24,3,1,0,9,11,6,4
Forge,David Choinière,27,0.0,0.0,0,0,1,13,3,9,1,24,5,0,2,16,8,4,8
Forge,David Choinière,10,0.54,0.0,1,0,1,6,1,4,1,10,0,0,1,6,1,1,3
Edmonton,Antony Caceres,61,0.0,0.2,0,0,4,24,9,10,6,39,5,2,2,13,20,10,5
Edmonton,Antony Caceres,72,0.0,0.04,0,0,3,17,5,9,3,29,5,1,4,10,18,9,4
Edmonton,Antony Caceres,32,0.0,0.0,0,0,0,6,1,5,2,12,1,1,1,5,5,2,3
Edmonton,Antony Caceres,13,0.0,0.0,0,0,0,5,2,3,3,8,0,1,0,2,4,4,1
Edmonton,Antony Caceres,13,0.07,0.97,0,0,0,5,0,5,0,8,2,0,1,7,1,0,5
Edmonton,Antony Caceres,12,0.0,0.0,0,0,1,2,1,0,2,7,1,2,1,4,0,0,0
Pacific,Sean Young,90,0.08,0.04,0,0,6,29,11,11,3,38,3,2,6,10,18,12,4
Pacific,Sean Young,67,0.0,0.0,0,0,4,23,10,8,3,28,1,0,3,6,16,11,3
Pacific,Sean Young,45,0.0,0.06,0,0,3,14,4,4,3,17,1,2,5,3,13,6,2
Pacific,Sean Young,9,0.0,0.03,0,0,1,9,2,5,1,14,3,2,3,5,6,4,1
Pacific,Sean Young,10,0.09,0.0,0,0,1,3,1,1,3,8,0,1,0,4,2,0,1
Pacific,Sean Young,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cavalry,Sergio Camargo,80,0.09,0.0,0,1,5,21,5,11,4,35,2,1,3,22,13,9,7
Cavalry,Sergio Camargo,50,0.88,0.08,1,1,3,17,6,8,3,27,3,2,3,10,17,7,7
Valour,Moses Dyer,67,0.15,0.0,0,3,0,15,6,8,7,33,5,2,1,10,20,12,2
Valour,Moses Dyer,31,0.0,0.0,0,0,5,19,2,12,4,28,0,1,3,16,12,7,7
Valour,Moses Dyer,58,0.21,0.03,0,1,0,13,3,9,5,23,3,1,2,6,14,9,3
Valour,Moses Dyer,7,0.0,0.0,0,0,1,4,1,2,0,5,2,0,1,2,2,1,1
Valour,Moses Dyer,18,0.0,0.0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0
Valour,Moses Dyer,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Alessandro Hojabrpour,90,0.35,0.03,0,2,2,22,10,10,3,31,3,2,2,10,14,10,6
Pacific,Alessandro Hojabrpour,64,0.0,0.0,0,0,3,20,6,9,4,25,3,3,5,4,16,9,2
Pacific,Alessandro Hojabrpour,29,0.0,0.0,0,0,0,13,1,10,1,18,0,1,2,4,12,8,3
Pacific,Alessandro Hojabrpour,19,0.0,0.0,0,0,0,12,4,6,0,14,1,1,1,2,7,6,2
Pacific,Alessandro Hojabrpour,23,0.0,0.0,0,0,1,4,1,1,1,8,1,3,2,0,4,2,0
Pacific,Alessandro Hojabrpour,15,0.03,0.0,0,1,1,3,0,1,1,6,1,1,0,1,3,1,0
HFX Wanderers,Omar Kreim,58,0.05,0.0,0,0,2,14,3,7,7,31,2,6,2,12,11,3,4
HFX Wanderers,Omar Kreim,20,0.06,0.0,0,0,2,7,0,5,1,10,2,0,1,6,3,3,2
HFX Wanderers,Omar Kreim,11,0.05,0.38,1,0,0,2,0,2,3,10,1,0,0,7,2,1,1
HFX Wanderers,Omar Kreim,10,0.0,0.0,0,0,1,1,0,0,2,6,3,2,0,1,3,0,0
HFX Wanderers,Omar Kreim,11,0.0,0.0,0,0,0,2,1,1,0,5,1,1,0,1,4,2,0
Edmonton,Chance Carter,45,0.0,0.0,0,0,0,18,8,9,5,29,2,6,2,6,17,9,5
Edmonton,Chance Carter,45,0.0,0.07,0,0,5,24,8,11,1,27,1,0,1,6,15,11,3
Edmonton,Chance Carter,27,0.0,0.0,0,0,0,6,0,5,1,9,1,1,1,1,7,4,1
Edmonton,Chance Carter,8,0.03,0.0,0,0,0,7,3,4,0,8,0,0,0,1,7,7,0
Edmonton,Chance Carter,3,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0
Edmonton,Chance Carter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Evan Couturier,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Max Ferrari,49,0.15,0.0,0,2,1,11,2,8,2,23,9,4,4,16,3,2,7
York9,Max Ferrari,37,0.11,0.0,0,0,4,13,2,7,2,22,3,0,2,18,4,3,6
York9,Max Ferrari,32,0.0,0.0,0,0,1,12,4,6,3,19,4,0,1,7,10,7,3
York9,Max Ferrari,18,0.0,0.0,0,0,0,5,1,4,0,8,2,0,0,2,5,3,2
York9,Max Ferrari,10,0.0,0.0,0,0,0,4,0,3,1,7,3,1,0,1,3,2,1
York9,Max Ferrari,1,0.0,0.0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0
Valour,Solomon Kojo Antwi,45,0.03,0.0,0,1,2,12,2,7,3,21,3,2,3,6,12,4,4
Valour,Solomon Kojo Antwi,25,0.0,0.0,0,0,2,8,2,4,0,14,3,0,0,8,6,3,3
Valour,Solomon Kojo Antwi,4,0.0,0.0,0,0,0,1,1,0,3,8,2,4,1,2,0,0,0
Valour,Solomon Kojo Antwi,4,0.0,0.0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
Valour,Solomon Kojo Antwi,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Antoine Coupland,50,0.0,0.0,0,0,3,6,0,3,5,17,4,5,1,6,6,1,2
Atlético Ottawa,Antoine Coupland,45,0.0,0.0,0,0,0,6,1,5,2,10,2,0,0,6,2,1,4
Atlético Ottawa,Antoine Coupland,2,0.0,0.0,0,0,0,0,0,0,2,2,1,0,0,2,0,0,0
Atlético Ottawa,Antoine Coupland,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Antoine Coupland,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Antoine Coupland,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Chris Mannella,22,0.0,0.0,0,0,1,13,9,3,1,16,4,1,4,0,11,8,0
York9,Chris Mannella,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Michael Petrasso,37,0.08,0.0,0,1,0,9,2,7,3,15,1,0,0,9,6,4,5
York9,Michael Petrasso,29,0.03,0.0,0,1,1,3,0,1,1,11,2,1,0,5,5,1,0
York9,Michael Petrasso,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFX Wanderers,Jan-Michael Williams,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Isaiah Johnston,8,0.0,0.0,0,0,1,8,0,7,1,10,1,1,1,7,3,2,5
York9,Isaiah Johnston,9,0.0,0.0,0,0,1,1,0,0,1,3,0,1,1,1,1,0,0
York9,Isaiah Johnston,1,0.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
York9,Isaiah Johnston,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Isaiah Johnston,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Isaiah Johnston,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Josh Heard,18,0.06,0.0,0,0,0,3,0,3,0,9,4,0,0,8,1,0,3
Pacific,Josh Heard,9,0.05,0.0,0,1,2,4,0,2,0,5,1,0,0,4,1,1,1
Pacific,Josh Heard,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Josh Heard,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Josh Heard,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Josh Heard,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFX Wanderers,Scott Firth,8,0.0,0.06,0,0,0,6,4,2,0,7,0,0,1,2,4,3,2
HFX Wanderers,Scott Firth,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFX Wanderers,Scott Firth,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFX Wanderers,Scott Firth,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HFX Wanderers,Scott Firth,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Michel Djaozandry,6,0.0,0.0,0,0,0,1,1,0,1,4,1,1,0,0,3,1,0
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Julian Altobelli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Julian Altobelli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York9,Julian Altobelli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
