team,name,position,number,nationality,dob,image,flag,link,overall,display
Valour FC,Dante Campbell,m,48,Canada,1999-05-22,empty.jpg,Canada.png,https://en.wikipedia.org/wiki/Dante_Campbell,0.32,Dante Campbell
York9 FC,Isaiah Johnston,m,44,Canada,2001-08-14,Isaiah-Johnston.jpg,Canada.png,https://en.wikipedia.org/wiki/Adrián_Ugarriza,0.01,Isaiah Johnston
York9 FC,Chris Mannella,m,5,Canada,1994-06-07,Chris_Mannella_1.jpg,Canada.png,https://en.wikipedia.org/wiki/Chris_Mannella,0.27,Chris Mannella
York9 FC,Ezequiel Carrasco,g,37,Canada,2002-09-11,Ezequeil-Carrasco-1.jpg,Canada.png,https://en.wikipedia.org/wiki/York_United_FC,0.04,Ezequiel Carrasco
York9 FC,Diyaeddine Abzi,d,20,Canada,1998-11-23,Abzi-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Diyaeddine_Abzi,0.36,Diyaeddine Abzi
York9 FC,Fugo Segawa,d,26,Japan,1997-08-11,Segawa-Headshot.jpg,Japan.png,https://en.wikipedia.org/wiki/Fugo_Segawa,0.32,Fugo Segawa
York9 FC,Gabriel Monteiro Vasconcelos,f,99,Brazil,1996-03-15,Gabriel-Vasconcelos.jpg,Brazil.png,https://en.wikipedia.org/wiki/Gabriel_Vasconcelos,0.03,Gabriel Vasconcelos
York9 FC,Álvaro Rivero Sánchez,f,7,Spain,1997-04-17,Alvaro-Rivero.jpg,Spain.png,https://en.wikipedia.org/wiki/York_United_FC,0.21,Álvaro Rivero
York9 FC,Joseph Di Chiara,m,8,Canada,1992-01-30,Joseph-Di-Chiara.jpg,Canada.png,https://en.wikipedia.org/wiki/Joseph_Di_Chiara,0.72,Joseph Di Chiara
York9 FC,Kyle Porter,m,19,Canada,1990-01-19,Porter-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Kyle_Porter,0.57,Kyle Porter
York9 FC,Luca Gasparotto,d,13,Canada,1995-03-09,Gasparotto-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Luca_Gasparotto,0.58,Luca Gasparotto
York9 FC,Manuel Aparicio,m,10,Canada,1995-09-17,Manuel-Aparicio.jpg,Canada.png,https://en.wikipedia.org/wiki/Manuel_Aparicio,0.67,Manny Aparicio
York9 FC,Matthew Arnone,d,17,Canada,1994-02-28,Arnone-Headshot-copy.jpg,Canada.png,https://en.wikipedia.org/wiki/Matthew_Arnone,0.05,Matthew Arnone
York9 FC,Max Ferrari,m,16,Canada,2000-08-20,Max-Ferrari.jpg,Canada.png,https://en.wikipedia.org/wiki/Max_Ferrari,0.32,Max Ferrari
York9 FC,Michael Petrasso,m,21,Canada,1995-07-09,Michael-Petrasso.jpg,Canada.png,https://en.wikipedia.org/wiki/Michael_Petrasso,0.18,Michael Petrasso
York9 FC,Morey Doner,d,3,Canada,1994-03-25,Doner-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Morey_Doner,0.39,Morey Doner
York9 FC,Nathan Ingham,g,29,Canada,1993-06-27,Ingham-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Nathan_Ingham,0.65,Nathan Ingham
York9 FC,Jace Kotsopoulos,f,12,Canada,1997-12-01,Jace-Kotsopolous.jpg,Canada.png,https://en.wikipedia.org/wiki/Jace_Kotsopoulos,0.02,Jace Kotsopoulos
York9 FC,Ryan Telfer,m,18,Canada,1994-03-04,Tefler-Headshot.jpg,Canada.png,https://en.wikipedia.org/wiki/Ryan_Telfer,0.69,Ryan Telfer
York9 FC,Roger Thompson,d,6,Canada,1991-12-19,Roger-Thompson.jpg,Canada.png,https://en.wikipedia.org/wiki/Roger_Thompson,0.54,Roger Thompson
York9 FC,Wataru Murofushi,m,23,Japan,1995-06-13,Wataru-Murofushi.jpg,Japan.png,https://en.wikipedia.org/wiki/Wataru_Murofushi,0.41,Wataru Murofushi
York9 FC,Julian Altobelli,m,22,Canada,2002-11-04,Julian-Altobelli.jpg,Canada.png,https://en.wikipedia.org/wiki/York_United_FC,0.05,Julian Altobelli
York9 FC,Ijah Halley,d,14,Canada,2001-04-28,Ijah-Halley.jpg,Canada.png,https://en.wikipedia.org/wiki/York_United_FC,0.13,Ijah Halley
York9 FC,Lowell Wright,f,80,Canada,2001-04-28,Lowell-Wright.jpg,Canada.png,https://en.wikipedia.org/wiki/York_United_FC,0.1,Lowell Wright
